stage,order,family,a,b,data_source
unk,Amphipoda,unk,0.0058,3.015,Benke_etal_T4
larva,Coleoptera,Carabidae,0.0077,2.91,Benke_etal_T2_order
larva,Coleoptera,Elmidae,0.0074,2.879,Benke_etal_T4
adult,Coleoptera,Elmidae,unk,unk,NA
larva,Coleoptera,Psephenidae,0.0123,2.906,Benke_etal_T4
adult,Coleoptera,Staphylinidae,unk,unk,NA
adult,Coleoptera,unk,unk,unk,NA
unk,Collembola,unk,0.0177,1,Wallace
unk,Crayfish,unk,0.0147,3.626,Benke_etal_T4
larva,Diptera,Athericidae,0.004,2.586,Benke_etal_T4
larva,Diptera,Cecidomyiidae,0.005,1,Phoenix_bug_traits
larva,Diptera,Ceratopogonidae,0.0025,2.469,Benke_etal_T4
larva,Diptera,Chironomidae,0.0018,2.617,Benke_etal_T4
larva,Diptera,Dixidae,0.000891,2.876485,Phoenix_bug_traits
larva,Diptera,Empididae,0.0054,2.546,Benke_etal_T4
larva,Diptera,Limoniidae,0.0029,2.681,Benke_etal_T4_Tipulidae
larva,Diptera,Psychodidae,0.0025,2.692,Benke_etal_T2_order
larva,Diptera,Simuliidae,0.002,3.011,Benke_etal_T4
larva,Diptera,unk,0.0025,2.692,Benke_etal_T2_order
larva,Ephemeroptera,Baetidae,0.0053,2.875,Benke_etal_T4
larva,Ephemeroptera,Ephemerellidae,0.0103,2.676,Benke_etal_T4
larva,Ephemeroptera,Ephemeridae,0.0034,2.764,Benke_etal_T4
larva,Ephemeroptera,Heptageniidae,0.0108,2.754,Benke_etal_T4
larva,Ephemeroptera,Leptophlebiidae,0.0047,2.686,Benke_etal_T4
larva,Ephemeroptera,unk,0.0071,2.832,Benke_etal_T2_order
larva,Megaloptera,Corydalidae,0.0037,2.873,Benke_etal_T4
larva,Megaloptera,unk,0.0037,2.838,Benke_etal_T2_order
larva,Odonata,Cordulegastridae,0.0067,2.782,Benke_etal_T4
unk,Odonata,Cordulegastridae,0.0067,2.782,Benke_etal_T4
larva,Odonata,Gomphidae,0.0088,2.787,Benke_etal_T4
larva,Odonata,unk,0.0078,2.792,Benke_etal_T2_order
unk,Oligochaeta,unk,0.0006,2.333,Wallace
larva,Plecoptera,Chloroperlidae,0.0065,2.724,Benke_etal_T4
larva,Plecoptera,Perlidae,0.0099,2.879,Benke_etal_T4
larva,Plecoptera,Perlodidae,0.0196,2.742,Benke_etal_T4
larva,Plecoptera,unk,0.0094,2.754,Benke_etal_T2_order
larva,Trichoptera,Brachycentridae,0.0083,2.818,Benke_etal_T4
larva,Trichoptera,Hydropsychidae,0.0046,2.926,Benke_etal_T4
larva,Trichoptera,Philopotamidae,0.005,2.511,Benke_etal_T4
larva,Trichoptera,Polycentropodidae,0.0047,2.705,Benke_etal_T4
larva,Trichoptera,Psychomyiidae,0.0039,2.873,Benke_etal_T4
larva,Trichoptera,Rhyacophilidae,0.0099,2.48,Benke_etal_T4
larva,Trichoptera,unk,0.0056,2.839,Benke_etal_T2_order
pupa,Trichoptera,unk,unk,unk,NA
pupa,unk,unk,unk,unk,NA
larva,unk,unk,unk,unk,NA
unk,unk,unk,unk,unk,NA